ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Population_Weighted_RWI,Total_Population
Awaran,PK20101,Awaran,PK201,Balochistan,PK2,-0.3239928466535833,29587.916781812906
Jhal Jhao,PK20102,Awaran,PK201,Balochistan,PK2,-0.048971365708100754,65795.6644797884
Mashkai,PK20103,Awaran,PK201,Balochistan,PK2,-0.035377330180528875,26151.347728423774
Gishekore,PK20104,Awaran,PK201,Balochistan,PK2,-0.01319687225010058,22988.947383522987
Ormara,PK20503,Gwadar,PK205,Balochistan,PK2,-0.012332652593560164,31147.237379275262
Pasni,PK20504,Gwadar,PK205,Balochistan,PK2,-0.22414729055695898,48145.07148286328
Kech (Turbat),PK21103,Kech,PK211,Balochistan,PK2,0.16519910334175192,284160.1404846981
Naal,PK21303,Khuzdar,PK213,Balochistan,PK2,-0.21049277562655427,96104.941317074
Wadh,PK21304,Khuzdar,PK213,Balochistan,PK2,-0.25913061158737477,126294.26394568384
Bela,PK21701,Lasbela,PK217,Balochistan,PK2,-0.26335983195710544,103284.10337305069
Uthal,PK21707,Lasbela,PK217,Balochistan,PK2,-0.1424387063352876,61889.05584069155
Lakhra,PK21708,Lasbela,PK217,Balochistan,PK2,-0.5178260121770417,4232.310956180096
Lairi,PK21709,Lasbela,PK217,Balochistan,PK2,-0.13460813887608097,1990.741056919098
Gowargo,PK22401,Panjgur,PK224,Balochistan,PK2,-0.21036773075338489,10946.722729489207
Jaheen Parome,PK22402,Panjgur,PK224,Balochistan,PK2,-0.1271742132627514,12774.328884035349
Panjgur,PK22403,Panjgur,PK224,Balochistan,PK2,0.6325242903116304,246634.1586398352
Gichk,PK22404,Panjgur,PK224,Balochistan,PK2,-0.09085506226914324,2463.224562929943
Washuk,PK23003,Washuk,PK230,Balochistan,PK2,0.2804699999141688,30591.9884110149
Nag,PK23004,Washuk,PK230,Balochistan,PK2,-0.04498195558846844,38775.04164329171
Barkhan,PK20201,Barkhan,PK202,Balochistan,PK2,-0.2681760045042493,74314.56539646536
